customer_id,gender,is_senior_citizen,partner,dependents,partner_dependents,phone_service,internet_service,contract_type,payment_type,monthly_charges,total_charges,churn,tenure,avg charges,Check,Start Date,is_female,has_churned,has_phone,has_internet,has_phone_and_internet,Contract Type,Phone Service,Internet Service
0002-ORFBO,Female,0,Yes,Yes,3,1,1,1,Mailed check,65.6,593.30,No,9.04,65.60,TRUE,20201112,TRUE,FALSE,TRUE,TRUE,TRUE,1 Year,One Line,DSL
0003-MKNFE,Male,0,No,No,0,2,1,0,Mailed check,59.9,542.40,No,9.06,59.90,TRUE,20201112,FALSE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,Two or More Lines,DSL
0004-TLHLJ,Male,0,No,No,0,1,2,0,Electronic check,73.9,280.85,Yes,3.80,73.90,TRUE,20210512,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0011-IGKFF,Male,1,Yes,No,1,1,2,0,Electronic check,98,"1,237.85",Yes,12.63,98.00,TRUE,20200812,FALSE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0013-EXCHZ,Female,1,Yes,No,1,1,2,0,Mailed check,83.9,267.40,Yes,3.19,83.90,TRUE,20210512,TRUE,TRUE,TRUE,TRUE,TRUE,Month-to-Month,One Line,Fiber Optic
0013-MHZWF,Female,0,No,Yes,2,1,1,0,Credit card (automatic),69.4,571.45,No,8.23,69.40,TRUE,20201212,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0013-SMEOE,Female,1,Yes,No,1,1,2,2,Bank transfer (automatic),109.7,"7,904.25",No,72.05,109.70,TRUE,20150812,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,One Line,Fiber Optic
0014-BMAQU,Male,0,Yes,No,1,2,2,2,Credit card (automatic),84.65,"5,377.80",No,63.53,84.65,TRUE,20160512,FALSE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,Fiber Optic
0015-UOCOJ,Female,1,No,No,0,1,1,0,Electronic check,48.2,340.35,No,7.06,48.20,TRUE,20210112,TRUE,FALSE,TRUE,TRUE,TRUE,Month-to-Month,One Line,DSL
0016-QLJIS,Female,0,Yes,Yes,3,2,1,2,Mailed check,90.45,"5,957.90",No,65.87,90.45,TRUE,20160312,TRUE,FALSE,TRUE,TRUE,TRUE,2 Year,Two or More Lines,DSL
0017-DINOC,Male,0,No,No,0,0,1,2,Credit card (automatic),45.2,"2,460.55",No,54.44,45.20,TRUE,20170212,FALSE,FALSE,FALSE,TRUE,FALSE,2 Year,No Phone Service,DSL
